80;6;800000;20000;59.6;3.8
100;8.1;1710000;34200;74.6;4.1
120;10.4;3180000;53000;93.4;4.4
140;12.9;5410000;77300;112.2;4.7
160;15.8;8690000;109000;127.2;5
180;18.8;13170000;146000;146;5.3
200;22.4;19430000;194000;159;5.6
220;26.2;27720000;252000;177.6;5.9
240;30.7;38920000;324000;190.4;6.2
270;36.1;57900000;429000;219.6;6.6
300;42.2;83560000;557000;248.6;7.1
330;49.1;117670000;713000;271;7.5
360;57.1;162660000;904000;298.6;8
400;66.3;231280000;1156000;331;8.6
450;77.6;337430000;1500000;378.8;9.4
500;90.7;481990000;1928000;426;10.2
550;105.5;671170000;2441000;467.7;11.1
600;122.4;920830000;3069000;514;12
